gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000001542	Ell2	577.823090417588	535.934660217549	251.361133250261	249.180978149361	403.57496550869	1.15570552091663	0.140212298543383	8.24254029726954	1.68592308545279e-16	3.70929380251805e-15
ENSMUSG00000024347	Psd2	322.75546907611	326.026918299009	634.387622012564	713.923278666028	499.273322013428	-1.05659714346802	0.128188163688388	-8.24254839968296	1.68580888406632e-16	3.70929380251805e-15
ENSMUSG00000026664	Phyh	495.276934643647	518.070171543631	224.157547400666	212.594882151241	362.524883934796	1.21393968089585	0.147404628590802	8.23542444020376	1.7892214644505e-16	3.93043462821578e-15
ENSMUSG00000051455	Meioc	229.478313051556	225.539169508219	62.0241757370775	46.4742300516666	140.87897208713	2.07360416085948	0.25193228777045	8.2307995501905	1.85967938653665e-16	4.07252459446061e-15
ENSMUSG00000032492	Pth1r	61.9096168304558	54.7099965638748	216.540543362779	252.147418365425	146.326893780634	-2.00146857843283	0.243282474461922	-8.22693283952969	1.92068076471761e-16	4.19308991096167e-15
ENSMUSG00000050335	Lgals3	146.106695719876	161.896928607385	23.9391555476439	20.7650815124468	88.1769653468378	2.78549854905075	0.33884076396181	8.22067131617228	2.02367182357108e-16	4.40429687157762e-15
ENSMUSG00000000792	Slc5a5	188.205235164586	157.430806438905	33.7324464534983	23.7315217285106	100.775002446375	2.59869805943549	0.316406317682871	8.21316741861054	2.15428848808942e-16	4.68134523074346e-15
ENSMUSG00000010760	Phlda2	37.9712316560129	37.9620384320764	199.130248419038	176.00878615312	112.768076165062	-2.30376708542926	0.280933579972464	-8.20039770843723	2.39593038349825e-16	5.19044642065681e-15
ENSMUSG00000031169	Porcn	515.913473587132	483.457724737914	223.069403966682	206.662001719113	357.27565100271	1.22009728985704	0.149474110257614	8.16259944785248	3.27890421383939e-16	7.04914422679527e-15
ENSMUSG00000035929	H2-Q4	585.252244437242	575.013229191746	278.564719099857	261.046739013617	424.969232935615	1.1057400780991	0.13576389532588	8.14458126326553	3.80596685467478e-16	8.13963793337725e-15
ENSMUSG00000041189	Chrnb1	220.398235916423	169.712642402224	38.0850201894335	39.5525362141844	116.937108680566	2.33320124366743	0.287294944148846	8.12127498651215	4.61311467262507e-16	9.79800545602881e-15
ENSMUSG00000060600	Eno3	551.408320569927	525.88588533847	255.713706986197	221.494202799432	388.625528923506	1.17765257695666	0.145244823650063	8.10805195918007	5.14377423548245e-16	1.0908668878648e-14
ENSMUSG00000033826	Dnah8	254.242159783739	267.967330108775	75.0818969448832	75.1498188069503	168.110301411087	1.79628467904538	0.221644045008694	8.10436697712732	5.30208444070789e-16	1.12275220521477e-14
ENSMUSG00000071470	Ccnb1ip1	340.090161788637	324.910387756889	119.69577773822	110.747101399716	223.860857170866	1.53114771031864	0.189581192834506	8.07647471474264	6.6665977859539e-16	1.40536664537082e-14
ENSMUSG00000030966	Trim21	478.767703488858	475.642010943075	216.540543362779	185.896920206667	339.211794500345	1.24806369326505	0.154860790865853	8.0592620397126	7.67564028755676e-16	1.61566499963303e-14
ENSMUSG00000078942	Naip6	231.954697724774	205.441619750061	51.1427413972393	55.3735506998581	135.978152392983	2.03896734286115	0.253168078051664	8.05380898947718	8.02564345151897e-16	1.68180757201741e-14
ENSMUSG00000049420	Tmem200a	240.209313302169	230.005291676698	67.4648929069965	57.3511775105673	148.757668849108	1.91718895767839	0.239213815264976	8.0145411148379	1.10548976161409e-15	2.30631983846797e-14
ENSMUSG00000000037	Scml2	444.923779621543	425.39813654768	167.574088833508	186.885733612021	306.195434653688	1.29540301804933	0.161649664325105	8.01364496151414	1.1135787185099e-15	2.31976376176442e-14
ENSMUSG00000015222	Map2	537.375474088357	616.324859250182	263.330711024083	263.024365824326	420.013852546737	1.12921187028534	0.141026699726391	8.00707860622237	1.17465413850866e-15	2.44338455979169e-14
ENSMUSG00000025283	Sat1	650.463707498656	672.151386356177	291.622440307662	345.095878468759	489.833353157813	1.05191233325591	0.131426774184044	8.00379024583576	1.2064683270023e-15	2.50586492131272e-14
ENSMUSG00000025207	Sema4g	130.422926122827	139.566317764987	335.148177667015	415.301630248936	255.109762950941	-1.47909941087548	0.185185833062295	-7.98710887553653	1.38140083702627e-15	2.86077768055528e-14
ENSMUSG00000005148	Klf5	603.412398707509	602.926492744743	269.859571627986	303.565715443865	444.941044631026	1.07145965469081	0.134267586096134	7.9800321570067	1.4629517212753e-15	3.0207918192014e-14
ENSMUSG00000044461	Shisa2	89.1498482358564	78.1571379483926	267.683284760018	278.84538031	178.458912813567	-1.70174910329312	0.213377490934743	-7.9752981246441	1.52013436008634e-15	3.13427702928329e-14
ENSMUSG00000042106	Inka1	152.710388181791	192.043253244622	458.108385707186	414.312816843581	304.293710994295	-1.34786199907188	0.169353174034241	-7.95888241692692	1.73600112321847e-15	3.57413486726279e-14
ENSMUSG00000029311	Hsd17b11	286.435160535576	270.200391193015	94.6684787565919	74.1610054015957	181.366258971694	1.72617786736011	0.217461127889923	7.93786863937305	2.05685001799943e-15	4.22238075747395e-14
ENSMUSG00000066894	Vsig10	189.030696722325	165.246520233744	33.7324464534983	36.5860959981205	106.148939851922	2.3340448634446	0.294099390678166	7.9362451518941	2.0839391433484e-15	4.27177234573293e-14
ENSMUSG00000032035	Ets1	348.344777366031	310.395490709331	120.783921172203	106.791847778298	221.579009256466	1.53764643760742	0.193776523470534	7.9351533925173	2.10235325213929e-15	4.30326384831936e-14
ENSMUSG00000035954	Dock4	170.870542452058	188.693661618262	436.34551702751	427.167391113191	305.769278052755	-1.2680018903673	0.160168251740622	-7.91668683766815	2.43923086060585e-15	4.97836075645792e-14
ENSMUSG00000026628	Atf3	277.355083400442	230.005291676698	58.759745435126	78.1162590230141	161.05909488382	1.88921985000375	0.239082111674058	7.90197073622694	2.7452787949868e-15	5.59489405284664e-14
ENSMUSG00000021457	Syk	497.753319316865	482.341194195794	218.716830230747	219.516575988723	354.581979933032	1.16190812917777	0.147899742014101	7.85605244035513	3.9642915176537e-15	8.02129171785798e-14
ENSMUSG00000053199	Arhgap20	165.917773105622	163.013459149505	35.9087333214659	22.742708323156	96.895668474937	2.49659926823373	0.318005037538349	7.85081672780941	4.13336609594744e-15	8.33946524336864e-14
ENSMUSG00000001270	Ckb	539.026397203835	458.894052811277	211.09982619286	221.494202799432	357.628619751851	1.20866147115902	0.154145518975786	7.84104188814519	4.46823344228152e-15	8.98937178837322e-14
ENSMUSG00000030921	Trim30a	176.648773356234	94.905096080191	3.26443030195145	1.97762681070922	69.1989816372714	5.71780887181394	0.729249025253146	7.84068085634959	4.48110014247191e-15	9.00241528622242e-14
ENSMUSG00000021587	Pcsk1	226.176466820599	234.471413845178	52.2308848312231	69.2169383748226	145.523925967956	1.91794494729522	0.245138191841274	7.82393364693282	5.11978000929062e-15	1.02417386483724e-13
ENSMUSG00000031379	Pir	451.527472083458	465.593236063996	210.011682758876	180.952853179893	327.021311021556	1.23141204142887	0.157471311128239	7.81991356143626	5.28596213052979e-15	1.05293677862799e-13
ENSMUSG00000035109	Shc4	486.196857508513	445.495686305838	210.011682758876	193.807427449503	333.877913505683	1.20918884647078	0.155174021353893	7.79246961521398	6.57119763049517e-15	1.30526197440667e-13
ENSMUSG00000028327	Stra6l	111.43731029482	144.032439933466	334.060034233031	374.760280629397	241.072516272679	-1.48371677136872	0.190594378898811	-7.78468273797541	6.98883614226707e-15	1.38431960834821e-13
ENSMUSG00000002799	Jag2	563.790243936018	593.994248407784	226.333834268634	293.677581390319	419.448977000689	1.15070351586632	0.148142834751206	7.76752731779999	8.00330822087849e-15	1.57640580780795e-13
ENSMUSG00000022425	Enpp2	139.50300325796	97.1381571644308	11.969577773822	8.89932064819148	64.3775147111012	3.51630260534149	0.452893996003243	7.76407423452862	8.22437198687111e-15	1.61768923473979e-13
ENSMUSG00000026158	Ogfrl1	605.888783380728	616.324859250182	287.269866571727	314.442662902766	455.981543026351	1.020792327721	0.131575830230159	7.75820548451317	8.61395063119313e-15	1.68960425245781e-13
ENSMUSG00000078670	Fam174b	79.2443095429835	100.487748790791	293.79872717563	267.968432851099	185.374804590126	-1.65438130812835	0.21395028082102	-7.73255029990971	1.0541314728024e-14	2.05054016012858e-13
ENSMUSG00000021255	Esrrb	187.379773606846	154.081214812545	30.4680161515468	36.5860959981205	102.128775142265	2.3486735307072	0.303877152035393	7.72902311008116	1.08375000768553e-14	2.10525156451639e-13
ENSMUSG00000018830	Myh11	103.182694717426	116.119176380469	9.79329090585433	7.91050724283687	59.2514173116467	3.63398967009161	0.470229016168014	7.72812724256297	1.09140227549161e-14	2.1172003151662e-13
